ef,recall,Cal
1.0,0.266,865.0519031141868
2.0,0.484,322.99741602067184
3.0,0.578,235.8490566037736
4.0,0.6579999999999999,187.16077110237694
5.0,0.7119999999999999,158.27793605571384
6.0,0.7679999999999998,134.24620754463686
7.0,0.8,120.26458208057726
8.0,0.84,109.79358805445762
9.0,0.8619999999999999,101.0407194099222
10.0,0.8699999999999999,95.86808551433228
11.0,0.8819999999999999,89.14244963451596
12.0,0.8839999999999998,84.85362749257531
13.0,0.8979999999999998,79.84031936127745
14.0,0.9059999999999999,75.7002271006813
15.0,0.912,71.571714858288
16.0,0.9239999999999999,68.21282401091405
17.0,0.9239999999999999,65.69007422978389
18.0,0.9279999999999999,63.05567816381865
19.0,0.932,60.408360517095566
20.0,0.938,58.065265358262685
21.0,0.948,55.46311702717692
22.0,0.958,53.87640752114648
23.0,0.958,52.12133847597206
24.0,0.966,50.390526581002774
25.0,0.966,48.92128565138692
26.0,0.97,47.1342383107089
27.0,0.9740000000000001,45.89682393978337
28.0,0.9740000000000001,44.68275245755138
29.0,0.978,43.54262823304015
30.0,0.978,42.556813345816664
31.0,0.98,41.50066401062417
32.0,0.9860000000000001,40.479274611398964
33.0,0.9860000000000001,39.55852684046046
34.0,0.9860000000000001,38.72816699585609
35.0,0.9860000000000001,37.87018101946527
36.0,0.9860000000000001,37.16228771043146
37.0,0.9860000000000001,36.349096724946385
38.0,0.9860000000000001,35.5909883617468
39.0,0.9860000000000001,34.924737191352634
40.0,0.988,34.26769926667124
41.0,0.988,33.49634889797012
42.0,0.988,32.8493528677485
43.0,0.988,32.131611078979496
44.0,0.988,31.602566128369624
45.0,0.988,31.036623215394165
46.0,0.988,30.455306837216384
47.0,0.988,29.957161259399058
48.0,0.988,29.449009040845777
49.0,0.988,29.00316134458656
50.0,0.988,28.53229856197215
51.0,0.988,28.036335090277
52.0,0.988,27.59838825412596
53.0,0.988,27.235340577933925
54.0,0.988,26.89907467183129
55.0,0.992,26.482349514048884
56.0,0.992,26.128079847412014
57.0,0.992,25.802456393848693
58.0,0.992,25.416190113102047
59.0,0.992,25.026277591471047
60.0,0.992,24.732273143224596
61.0,0.992,24.429569550984514
62.0,0.992,24.117306579201237
63.0,0.992,23.823704586063133
64.0,0.992,23.547141377036827
65.0,0.992,23.279634975323585
66.0,0.992,22.99061982711054
67.0,0.9940000000000001,22.699929630218147
68.0,0.9940000000000001,22.426553038797937
69.0,0.9940000000000001,22.225679550152247
70.0,0.9940000000000001,21.901966796618336
71.0,0.996,21.640805903611852
72.0,0.996,21.4096086323542
73.0,0.996,21.181055663814284
74.0,0.996,20.958209330594794
75.0,0.996,20.783971401255354
76.0,0.996,20.56682160338941
77.0,0.996,20.357062882967245
78.0,0.996,20.167389331451044
79.0,0.996,19.98001998001998
80.0,0.996,19.790223629527013
81.0,0.996,19.643278070244364
82.0,0.996,19.477231116824434
83.0,0.996,19.265595499556895
84.0,0.996,19.0919851846195
85.0,0.996,18.89252045115339
86.0,0.996,18.745547932366062
87.0,0.996,18.591853049993492
88.0,0.996,18.422652493506018
89.0,0.996,18.26550741579601
90.0,0.996,18.112004636673188
91.0,0.998,17.938506798694075
92.0,0.998,17.80373166215639
93.0,0.998,17.65536723163842
94.0,0.998,17.540782318891424
95.0,1.0,17.392816766675363
96.0,1.0,17.25446890744703
97.0,1.0,17.13326251584827
98.0,1.0,16.983695652173914
99.0,1.0,16.84097071355193
100.0,1.0,16.71346436689397
