ef,recall,Cal
1.0,0.736,153.84615384615384
2.0,0.8539999999999999,91.00837277029487
3.0,0.9219999999999999,68.3433570256971
4.0,0.9519999999999998,59.07372400756144
5.0,0.956,52.320410192015906
6.0,0.958,47.241118669690096
7.0,0.96,42.894522369493416
8.0,0.9619999999999999,39.64163957821296
9.0,0.964,36.85413134812413
10.0,0.964,34.5447008428907
11.0,0.964,32.323754727349126
12.0,0.966,30.65228052967141
13.0,0.966,28.972910328842534
14.0,0.966,27.760812836599854
15.0,0.9679999999999999,26.556192904185256
16.0,0.9679999999999999,25.532349486799774
17.0,0.9679999999999999,24.579687346376957
18.0,0.97,23.649607416516886
19.0,0.97,22.891152569531876
20.0,0.97,22.187215726298508
21.0,0.976,21.468441391155
22.0,0.978,20.90432092313481
23.0,0.978,20.415246105791805
24.0,0.978,19.955698349663745
25.0,0.978,19.492417449612102
26.0,0.978,19.012852688417368
27.0,0.978,18.574586251091258
28.0,0.978,18.164644336263898
29.0,0.978,17.715733342781725
30.0,0.978,17.314818021262596
31.0,0.978,16.950589032968896
32.0,0.978,16.637274149003428
33.0,0.978,16.319336782153172
34.0,0.978,16.046470578796193
35.0,0.978,15.768891131575629
36.0,0.978,15.503395243558339
37.0,0.978,15.239256324291373
38.0,0.978,14.961548819533798
39.0,0.978,14.728191230834941
40.0,0.978,14.506419090447523
41.0,0.978,14.27368360952911
42.0,0.978,14.061533269587716
43.0,0.978,13.859053426650961
44.0,0.978,13.67727111086796
45.0,0.978,13.481813034216842
46.0,0.978,13.309022186139984
47.0,0.978,13.140949827853557
48.0,0.978,12.965964343598054
49.0,0.978,12.816240740266066
50.0,0.978,12.668009475671088
51.0,0.978,12.515957846253974
52.0,0.978,12.386048355132779
53.0,0.978,12.249497770591406
54.0,0.978,12.122387625466713
55.0,0.978,11.97977813450895
56.0,0.978,11.846797218372012
57.0,0.978,11.720856091328912
58.0,0.978,11.623717032232568
59.0,0.978,11.503376240926713
60.0,0.978,11.376305431048213
61.0,0.978,11.26532083633742
62.0,0.978,11.156107411002154
63.0,0.978,11.040452216922805
64.0,0.978,10.947386858756815
65.0,0.978,10.846928149947935
66.0,0.978,10.764494391698422
67.0,0.978,10.662344862882245
68.0,0.978,10.56535198470137
69.0,0.978,10.48053241104648
70.0,0.978,10.380443244926559
71.0,0.978,10.292936986639768
72.0,0.978,10.212105429776457
73.0,0.978,10.135922723725153
74.0,0.978,10.05874305946729
75.0,0.978,9.983726525763007
76.0,0.978,9.90206854211845
77.0,0.978,9.83361523030327
78.0,0.978,9.757430283160629
79.0,0.978,9.681666795755556
80.0,0.978,9.620842593394329
81.0,0.978,9.561143512764126
82.0,0.978,9.492529379378428
83.0,0.978,9.430136831285422
84.0,0.978,9.371017317640003
85.0,0.978,9.313415043027977
86.0,0.978,9.257030714827913
87.0,0.978,9.193457935333218
88.0,0.978,9.13600774733457
89.0,0.978,9.078611698699035
90.0,0.978,9.023967658099913
91.0,0.978,8.966036653157838
92.0,0.978,8.907733694393473
93.0,0.978,8.855199773306886
94.0,0.978,8.793527963418923
95.0,0.978,8.741411563139216
96.0,0.978,8.693913391234796
97.0,0.978,8.646255738952247
98.0,0.978,8.598304414369487
99.0,0.978,8.546351135382748
100.0,0.978,8.494588946840862
