ef,recall,Cal
1.0,0.29200000000000004,635.7279084551811
2.0,0.5419999999999999,219.78021978021977
3.0,0.632,169.29067208396816
4.0,0.708,133.2267519317879
5.0,0.7580000000000001,114.49507671170139
6.0,0.7920000000000001,100.4217714400482
7.0,0.8220000000000001,89.91997122560922
8.0,0.846,81.65931732810714
9.0,0.8679999999999999,75.51159102922298
10.0,0.8859999999999999,69.01787562978812
11.0,0.8939999999999999,64.8971380362126
12.0,0.9039999999999999,60.90133982947625
13.0,0.912,57.947499565393755
14.0,0.9339999999999999,54.686645521163726
15.0,0.938,52.435635257721145
16.0,0.944,50.26135906714917
17.0,0.946,48.12319538017324
18.0,0.946,46.37143519591931
19.0,0.9499999999999998,44.549382991045576
20.0,0.958,42.31550440081246
21.0,0.9640000000000001,40.22849786788961
22.0,0.9660000000000001,39.05487209529389
23.0,0.968,37.896013339396696
24.0,0.97,36.71071953010279
25.0,0.97,35.70790930191037
26.0,0.9719999999999999,34.721016631366965
27.0,0.9739999999999999,33.7963432356619
28.0,0.976,32.81701233919664
29.0,0.9799999999999999,31.846119550332794
30.0,0.982,30.95017022593624
31.0,0.9860000000000001,30.154996682950365
32.0,0.9880000000000001,29.42907592701589
33.0,0.99,28.78526194588371
34.0,0.9919999999999999,28.228652081863093
35.0,0.9919999999999999,27.664047803474602
36.0,0.9919999999999999,27.111291853056798
37.0,0.9919999999999999,26.573835401663523
38.0,0.9919999999999999,26.00442075152776
39.0,0.9919999999999999,25.519969376036748
40.0,0.9919999999999999,25.072082236429733
41.0,0.9919999999999999,24.57545894669583
42.0,0.9919999999999999,24.145257871354065
43.0,0.9919999999999999,23.682091602330317
44.0,0.9919999999999999,23.279634975323585
45.0,0.996,22.837307024755642
46.0,0.996,22.494151520604643
47.0,0.996,22.153300841825434
48.0,0.996,21.810250817884405
49.0,0.996,21.452322213879654
50.0,0.996,21.07570392851121
51.0,0.996,20.74430568808862
52.0,0.998,20.399004528579002
53.0,0.998,20.141392575882698
54.0,0.998,19.851510699964265
55.0,0.998,19.551106592633143
56.0,0.998,19.285287254353655
57.0,0.998,19.057056828143462
58.0,0.998,18.82317509317472
59.0,0.998,18.57113673927981
60.0,0.998,18.344584678602875
61.0,0.998,18.129736393632836
62.0,0.998,17.8491744756805
63.0,0.998,17.68033946251768
64.0,0.998,17.48985588358752
65.0,0.998,17.274140611504578
66.0,0.998,17.050298380221655
67.0,0.998,16.880201211998447
68.0,0.998,16.673614005835766
69.0,0.998,16.4866870002473
70.0,0.998,16.326264060994923
71.0,0.998,16.140486797081802
72.0,0.998,15.971889474524836
73.0,0.998,15.806278253722379
74.0,0.998,15.6563126252505
75.0,0.998,15.50147263990079
76.0,0.998,15.355557944197901
77.0,0.998,15.232524486283111
78.0,0.998,15.096618357487923
79.0,0.998,14.951705989653417
80.0,0.998,14.824258416472714
81.0,0.998,14.689248938701764
82.0,0.998,14.552863275849523
83.0,0.998,14.409014279333151
84.0,0.998,14.303286895328547
85.0,0.998,14.19244961680386
86.0,0.998,14.077369221239934
87.0,0.998,13.956149777399412
88.0,0.998,13.829345871940257
89.0,0.998,13.721185510428102
90.0,1.0,13.60766383627259
91.0,1.0,13.483994498530244
92.0,1.0,13.383476759592606
93.0,1.0,13.283034907815738
94.0,1.0,13.179919075296878
95.0,1.0,13.081984798733664
96.0,1.0,12.984820744549621
97.0,1.0,12.89241281505834
98.0,1.0,12.793777106815245
99.0,1.0,12.708741072109397
100.0,1.0,12.606842994377347
